Name,Feature,Full Address,Street,Municipality,Categories,Plus Code,Phones,Emails,Review Count,Average Rating,Review URL,Google Maps URL,Cid,Google Knowledge URL,Kgmid,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Place Id
Plates Neighborhood Kitchen,Restaurant with global fare & cocktails,"301 Glenwood Ave # 100, Raleigh, NC 27603",301 Glenwood Ave # 100,Raleigh,"American restaurant, Bar, Brunch restaurant, Cafe, Coffee shop, Fusion restaurant, Lunch restaurant, Southern restaurant (US)",Upgrade To Pro to extract Plus Code,"(919) 828-0018, +1 919-828-0018",Upgrade To Pro to extract Email,722,4.5,https://search.google.com/local/reviews?placeid=ChIJAcWce2ZfrIkRY-WyTM4MXb8&q=raleigh+restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=13789191714267915619,13789191714267915619,https://www.google.com/search?kgmid=/g/1pxwrydys&kponly,Upgrade To Pro to extract Kgmid,35.784359099999996,-78.6475746,http://www.plateskitchen.com/,plateskitchen.com,"Sunday:[10 AM-3 PM], Monday:[Closed], Tuesday:[Closed], Wednesday:[9 AM-2:30 PM], Thursday:[8 AM-2:30 PM], Friday:[8 AM-2:30 PM], Saturday:[10 AM-3 PM]",https://lh5.googleusercontent.com/p/AF1QipORMH8xsxOZRSoWOYGo6DTR9W4Y3IFFPShSjxB0=w184-h92-k-no,ChIJAcWce2ZfrIkRY-WyTM4MXb8
Sitti,Updated takes on Lebanese cuisine,"137 S Wilmington St, Raleigh, NC 27601",137 S Wilmington St,Raleigh,"Lebanese restaurant, Cocktail bar, Fine dining restaurant, Mediterranean restaurant, Middle Eastern restaurant, Restaurant, Wine bar",Upgrade To Pro to extract Plus Code,"(919) 239-4070, +1 919-239-4070",Upgrade To Pro to extract Email,2539,4.5,https://search.google.com/local/reviews?placeid=ChIJ19sFjm1frIkRfg9-b_kFExU&q=raleigh+restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=1518564068229517182,1518564068229517182,https://www.google.com/search?kgmid=/g/1v8j19bl&kponly,Upgrade To Pro to extract Kgmid,35.7783752,-78.63794399999999,http://sitti-raleigh.com/,sitti-raleigh.com,"Sunday:[11 AM-4 PM], Monday:[11 AM-10 PM], Tuesday:[11 AM-10 PM], Wednesday:[11 AM-10 PM], Thursday:[11 AM-10 PM], Friday:[11 AM-11 PM], Saturday:[11 AM-11 PM]",https://lh5.googleusercontent.com/p/AF1QipMlpPS2gGokUjtDSn0Gy5bAHZ_RoKTK1O2FrU-U=w163-h92-k-no,ChIJ19sFjm1frIkRfg9-b_kFExU
Parkside Restaurant,Unique American tavern with 40+ taps,"301 W Martin St, Raleigh, NC 27601",301 W Martin St,Raleigh,"American restaurant, Bar, Bar & grill, Brunch restaurant, Restaurant",Upgrade To Pro to extract Plus Code,"(984) 232-8969, +1 984-232-8969",Upgrade To Pro to extract Email,1421,4.4,https://search.google.com/local/reviews?placeid=ChIJm1ChOHBfrIkRgF21fCRMZnI&q=raleigh+restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=8243359887543065984,8243359887543065984,https://www.google.com/search?kgmid=/g/11c4_t_zfr&kponly,Upgrade To Pro to extract Kgmid,35.7769785,-78.6436997,https://parksiderestaurant.com/,parksiderestaurant.com,"Sunday:[9 AM-8 PM], Monday:[11 AM-9 PM], Tuesday:[11 AM-9 PM], Wednesday:[11 AM-9 PM], Thursday:[11 AM-9 PM], Friday:[11 AM-9 PM], Saturday:[10 AM-9 PM]",https://lh5.googleusercontent.com/p/AF1QipMDUva7hqWuWwdu28RKAtHHrvMRpPM2gICQuqp6=w230-h92-k-no,ChIJm1ChOHBfrIkRgF21fCRMZnI
Taverna Agora Greek Kitchen & Bar,Mediterranean dishes & old-world styling,"326 Hillsborough St, Raleigh, NC 27603",326 Hillsborough St,Raleigh,"Greek restaurant, Restaurant",Upgrade To Pro to extract Plus Code,"(919) 881-8333, +1 919-881-8333",Upgrade To Pro to extract Email,2511,4.5,https://search.google.com/local/reviews?placeid=ChIJjWQQnm9frIkRc-p5X0HfAyQ&q=raleigh+restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=2595163282163231347,2595163282163231347,https://www.google.com/search?kgmid=/g/11bc8wrlf9&kponly,Upgrade To Pro to extract Kgmid,35.7808358,-78.644441,https://www.tavernaagora.com/,tavernaagora.com,"Sunday:[11 AM-10 PM], Monday:[11 AM-10 PM], Tuesday:[11 AM-10 PM], Wednesday:[11 AM-10 PM], Thursday:[11 AM-10 PM], Friday:[11 AM-11 PM], Saturday:[11 AM-11 PM]",https://lh5.googleusercontent.com/p/AF1QipNZDMEEUkbJWIUnWnZBXKg3wfgBxiwNGWUIn6j3=w122-h92-k-no,ChIJjWQQnm9frIkRc-p5X0HfAyQ
Crawford and Son,New American place with craft cocktails,"618 N Person St, Raleigh, NC 27604",618 N Person St,Raleigh,"American restaurant, Restaurant",Upgrade To Pro to extract Plus Code,"(919) 307-4647, +1 919-307-4647",Upgrade To Pro to extract Email,635,4.8,https://search.google.com/local/reviews?placeid=ChIJB0Ua-D9frIkRgVxQhp4HurQ&q=raleigh+restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=13022729649934851201,13022729649934851201,https://www.google.com/search?kgmid=/g/11c208ngxt&kponly,Upgrade To Pro to extract Kgmid,35.788799999999995,-78.634141,http://www.crawfordandsonrestaurant.com/,crawfordandsonrestaurant.com,"Sunday:[Closed], Monday:[Closed], Tuesday:[5-10 PM], Wednesday:[5-10 PM], Thursday:[5-10 PM], Friday:[5-10 PM], Saturday:[5-10 PM]",https://lh5.googleusercontent.com/p/AF1QipMAya_gRn9h2jPErmuncyV8-EueIhV4Zj2PToD6=w80-h106-k-no,ChIJB0Ua-D9frIkRgVxQhp4HurQ
Stanbury,Rustic-chic New American kitchen,"938 N Blount St, Raleigh, NC 27604",938 N Blount St,Raleigh,American restaurant,Upgrade To Pro to extract Plus Code,"(919) 977-4321, +1 919-977-4321",Upgrade To Pro to extract Email,658,4.8,https://search.google.com/local/reviews?placeid=ChIJ87AbtUBfrIkR-i9mC2vw2ro&q=raleigh+restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=13464338378520932346,13464338378520932346,https://www.google.com/search?kgmid=/g/1pp2tk0bb&kponly,Upgrade To Pro to extract Kgmid,35.7935033,-78.6353809,http://www.stanburyraleigh.com/,stanburyraleigh.com,"Sunday:[Closed], Monday:[Closed], Tuesday:[5-10 PM], Wednesday:[5-10 PM], Thursday:[5-10 PM], Friday:[5-11 PM], Saturday:[5-11 PM]",https://lh5.googleusercontent.com/p/AF1QipNMuaChmJTPtjPS1wVWH7Vy4c6EywjWN_SoRKkI=w122-h92-k-no,ChIJ87AbtUBfrIkR-i9mC2vw2ro
Poole's,Retro-chic update of a venerable diner,"426 S McDowell St, Raleigh, NC 27601",426 S McDowell St,Raleigh,"American restaurant, Bar",Upgrade To Pro to extract Plus Code,"(919) 832-4477, +1 919-832-4477",Upgrade To Pro to extract Email,1499,4.5,https://search.google.com/local/reviews?placeid=ChIJG7DCGnFfrIkRvFlTUG3CZXw&q=raleigh+restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=8963784408105703868,8963784408105703868,https://www.google.com/search?kgmid=/m/0xmj7p0&kponly,Upgrade To Pro to extract Kgmid,35.774723,-78.64230599999999,http://ac-restaurants.com/pooles/,ac-restaurants.com,"Sunday:[5-9 PM], Monday:[5-9 PM], Tuesday:[5-9 PM], Wednesday:[Closed], Thursday:[5-9 PM], Friday:[5-10 PM], Saturday:[5-10 PM]",https://lh5.googleusercontent.com/p/AF1QipNY8W7CcAUMcLfLgMD0UfGfO50Z1PtpxtNgqwRI=w163-h92-k-no,ChIJG7DCGnFfrIkRvFlTUG3CZXw
Big Ed's City Market Restaurant,"Down-home, Southern-style brunch spot","220 Wolfe St, Raleigh, NC 27601",220 Wolfe St,Raleigh,"Southern restaurant (US), Breakfast restaurant, Brunch restaurant, Cafe, Diner",Upgrade To Pro to extract Plus Code,"(919) 836-9909, +1 919-836-9909",Upgrade To Pro to extract Email,2376,4.6,https://search.google.com/local/reviews?placeid=ChIJawqNdP9YrIkRGdQ9Y2yGK88&q=raleigh+restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=14928173189929227289,14928173189929227289,https://www.google.com/search?kgmid=/g/11b8cy1d4f&kponly,Upgrade To Pro to extract Kgmid,35.776053,-78.6359916,https://www.bigedsnc.com/,bigedsnc.com,"Sunday:[8 AM-2 PM], Monday:[Closed], Tuesday:[8 AM-2 PM], Wednesday:[8 AM-2 PM], Thursday:[8 AM-2 PM], Friday:[8 AM-2 PM], Saturday:[8 AM-2 PM]",https://lh5.googleusercontent.com/p/AF1QipOWabnd6mggma87PwwhGC_C4Q3Fo6AcegS4mYdo=w163-h92-k-no,ChIJawqNdP9YrIkRGdQ9Y2yGK88
Seasons 52,,"4325 Glenwood Ave Suite 2100, Raleigh, NC 27612",4325 Glenwood Ave Suite 2100,Raleigh,"New American restaurant, Fine dining restaurant, Gluten-free restaurant, Health food restaurant, Takeout Restaurant, Seafood restaurant, Steak house, Vegan restaurant, Vegetarian restaurant, Wine bar",Upgrade To Pro to extract Plus Code,"(919) 787-3052, +1 919-787-3052",Upgrade To Pro to extract Email,1606,4.6,https://search.google.com/local/reviews?placeid=ChIJlwevWT72rIkRT1QtQ43lw2U&q=raleigh+restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=7332957013169493071,7332957013169493071,https://www.google.com/search?kgmid=/g/11c71crx8m&kponly,Upgrade To Pro to extract Kgmid,35.840657199999995,-78.6795712,https://www.seasons52.com/locations/nc/raleigh/raleigh/4547?cmpid=br:s52_ag:ie_ch:dry_ca:S52GMB_sn:gmb_gt:raleigh-nc-4547_pl:locurl_rd:1039,seasons52.com,"Sunday:[11 AM-9 PM], Monday:[11 AM-10 PM], Tuesday:[11 AM-10 PM], Wednesday:[11 AM-10 PM], Thursday:[11 AM-10 PM], Friday:[11 AM-11 PM], Saturday:[11 AM-11 PM]",https://lh5.googleusercontent.com/p/AF1QipNn78SjhckakjoqqbQWHreSw_7Lqzo9wnicSmnB=w163-h92-k-no,ChIJlwevWT72rIkRT1QtQ43lw2U
Humble Pie,"Eclectic tapas, cocktails & a tiki bar","317 S Harrington St, Raleigh, NC 27603",317 S Harrington St,Raleigh,"New American restaurant, Bar, Brunch restaurant, Event venue",Upgrade To Pro to extract Plus Code,"(919) 829-9222, +1 919-829-9222",Upgrade To Pro to extract Email,721,4.5,https://search.google.com/local/reviews?placeid=ChIJ6UyNenBfrIkRiESg4cV_ngk&q=raleigh+restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=693131880532296840,693131880532296840,https://www.google.com/search?kgmid=/g/1tt1j28v&kponly,Upgrade To Pro to extract Kgmid,35.7763363,-78.64502379999999,http://www.humblepierestaurant.com/,humblepierestaurant.com,"Sunday:[Closed], Monday:[Closed], Tuesday:[Closed], Wednesday:[5-10 PM], Thursday:[5-10 PM], Friday:[5-10 PM], Saturday:[5-10 PM]",https://lh5.googleusercontent.com/p/AF1QipP0HKTtcjSzTArzTfpg5kgdHYGf7r8RbIRktCeW=w122-h92-k-no,ChIJ6UyNenBfrIkRiESg4cV_ngk
